n,MotherID,FatherID,Zygosity
599065,52379,82242,NotTwin
599469,52419,82271,NotTwin
599671,52795,82616,NotTwin
601127,54634,84456,MZ
604537,54648,84470,NotTwin
611938,56073,85894,NotMZ
613235,55793,85614,NotTwin
613538,51566,81430,NotTwin
614439,54606,84428,NotTwin
615441,55916,85736,NotTwin
615744,51707,81571,NotTwin
616645,56200,86019,NotTwin
617748,55695,85517,NotMZ
618952,56202,86021,NotTwin
620434,51891,81755,NotTwin
622236,52060,81924,NotTwin
623137,52909,82731,NotTwin
623844,52826,82647,NotTwin
626648,56073,85894,NotTwin
627549,51329,81194,MZ
627852,55844,85665,NotTwin
628248,55952,85772,NotTwin
633847,52884,82706,NotTwin
634748,54162,83984,NotTwin
635245,55754,85575,NotTwin
638049,51355,81220,NotMZ
644044,52753,82574,NotTwin
644246,52913,82735,MZ
645450,51300,81166,NotTwin
645551,51833,81697,NotTwin
647858,53303,83125,NotTwin
654350,52194,82057,NotTwin
654552,56127,85947,MZ
654754,51418,81283,NotTwin
656657,55943,85763,NotMZ
657659,54649,84471,NotTwin
660951,51533,81397,MZ
662551,52809,82630,MZ
663755,53121,82943,NotTwin
664757,55870,85690,NotMZ
665254,51324,81189,NotMZ
667056,56064,85885,NotTwin
668361,51817,81681,NotTwin
671855,55754,85575,NotMZ
672756,51345,81210,NotTwin
673455,52169,82032,NotTwin
675661,52238,82101,MZ
677766,51864,81728,NotTwin
677968,51279,81145,MZ
679568,51339,81204,NotTwin
679770,55844,85665,NotTwin
680250,52803,82624,NotTwin
680452,56081,85901,MZ
680957,51418,81283,MZ
683256,52049,81913,NotTwin
685058,51367,81232,NotTwin
687163,52526,82359,NotTwin
688569,51480,81344,MZ
689470,51706,81570,NotTwin
690152,51866,81730,NotMZ
692964,55961,85781,MZ
693461,52932,82754,MZ
693764,53251,83073,NotTwin
694362,51945,81809,NotTwin
695768,52054,81918,NotTwin
698168,55904,85724,NotMZ
700634,52757,82578,NotTwin
701535,54660,84482,NotTwin
702133,51307,81172,NotMZ
704238,51715,81579,NotTwin
705341,51730,81594,MZ
707749,51769,81633,NotMZ
709551,51339,81204,MZ
713239,51751,99985,NotTwin
715041,51627,99981,NotTwin
715647,51339,81204,MZ
715950,51468,81333,NotMZ
720337,54624,84446,NotMZ
723141,52238,82101,MZ
724446,55942,85762,NotMZ
725751,52298,82161,NotMZ
727553,51561,81425,NotTwin
727654,51435,81300,NotTwin
728454,56200,86019,NotMZ
729254,52410,82265,NotTwin
729557,51400,81265,NotTwin
731140,56141,85961,MZ
732243,51355,81220,NotMZ
734045,51809,81673,NotTwin
734247,51362,81227,NotTwin
735148,56066,85887,NotMZ
737960,53001,82823,NotTwin
742549,52761,82582,NotMZ
744553,56140,85960,MZ
748258,51293,81159,NotTwin
749058,55989,85810,MZ
749361,52442,82285,NotTwin
751348,52018,81882,NotTwin
751550,55701,85523,MZ
753150,56034,85855,NotTwin
753251,51495,81359,NotTwin
756055,52411,82266,NotTwin
757764,52870,82692,MZ
759869,51553,81417,NotTwin
760551,51577,81441,NotMZ
761957,52379,82242,NotTwin
763557,54609,84431,MZ
765056,52379,82242,NotTwin
765864,55706,85528,MZ
766563,55997,85818,NotTwin
767464,55686,85508,MZ
769064,52803,82624,MZ
770352,51435,81300,NotMZ
771354,51612,81476,MZ
773257,55651,85473,NotTwin
774663,55942,85762,NotTwin
779370,51485,81349,NotMZ
782561,52158,82021,MZ
783462,55952,85772,MZ
784565,51639,81503,MZ
786569,52298,82161,NotTwin
788674,56081,85901,MZ
789373,52715,82538,NotMZ
792564,51375,81240,MZ
792766,51702,81566,NotTwin
792867,52130,81994,NotTwin
793465,55788,85609,NotTwin
800941,55997,85818,NotTwin
802844,51627,81491,NotTwin
803240,55796,85617,NotTwin
804646,56097,85917,NotMZ
809252,56183,86002,NotTwin
810439,55892,85712,NotTwin
810843,56141,85961,NotTwin
812746,50406,80340,NotTwin
814548,52756,82577,NotTwin
814649,52298,82161,NotMZ
815247,53000,82822,NotTwin
816653,52326,82189,NotTwin
818455,52813,82634,NotTwin
818859,51702,81566,MZ
820745,51769,81633,NotMZ
822244,51582,81446,MZ
825048,52894,82716,NotMZ
825553,52727,82548,MZ
825654,55682,85504,NotTwin
826353,51417,81282,NotMZ
826454,51911,81775,NotTwin
827052,51491,81355,NotMZ
828862,56171,85990,NotTwin
832651,55904,85724,NotMZ
833148,52442,82285,NotTwin
835657,52137,82001,NotTwin
837560,52467,82307,NotTwin
837964,52875,82697,NotTwin
841349,55963,85784,NotTwin
843151,52640,82459,NotTwin
844961,51340,81205,MZ
845458,54646,84468,NotTwin
849971,52801,82622,NotTwin
852455,55699,85521,MZ
856463,52910,82732,MZ
856766,51337,81202,NotTwin
856968,55694,85516,NotTwin
857263,52707,81401,NotTwin
859671,51526,81390,MZ
861456,51367,81232,MZ
865363,51465,81330,NotTwin
867468,51644,99994,NotTwin
869472,52815,82636,NotTwin
870861,55793,85614,NotTwin
871762,52715,82538,NotMZ
871964,51852,81716,NotTwin
872562,51541,81405,NotTwin
872764,52370,82233,MZ
873968,54644,84466,NotTwin
877168,51287,81153,NotTwin
877269,52410,82265,NotTwin
878776,55922,85742,NotMZ
878877,52348,82211,MZ
880157,52385,82248,NotTwin
882161,52638,82457,NotTwin
884064,51318,81183,NotMZ
885975,51455,81320,NotMZ
886674,56183,86002,NotMZ
887373,51293,81159,NotMZ
888678,52234,82097,MZ
889579,51399,81264,NotTwin
891667,55787,85608,NotMZ
894067,51582,99982,NotTwin
894673,51469,81334,NotMZ
894774,56032,85853,NotTwin
896778,51345,81210,NotMZ
896879,51717,81581,NotTwin
898176,51749,81613,NotMZ
899885,51603,81467,NotMZ
901038,51864,81728,NotTwin
901139,51465,81330,MZ
901442,52269,82132,MZ
902242,51357,81222,NotTwin
904044,51290,81156,NotTwin
905147,52870,82692,MZ
907656,52138,82002,NotTwin
908860,52903,82725,NotTwin
910241,51866,81730,NotMZ
910443,53121,82943,NotTwin
911849,52901,82723,MZ
912447,52753,82574,MZ
917255,51717,81581,MZ
917558,52874,82696,MZ
923755,55963,85784,NotMZ
926862,55763,85584,MZ
927359,55922,85742,NotMZ
929464,56161,85980,NotMZ
930449,51900,81764,NotTwin
932554,52198,82061,NotTwin
933253,55697,85519,MZ
942658,52938,82760,NotTwin
943862,52844,82665,MZ
951457,51519,81383,MZ
952863,52968,82790,NotTwin
953764,51380,81245,NotMZ
955465,52038,81902,NotTwin
957974,52141,82005,NotTwin
958976,52242,82105,NotMZ
959574,52379,82242,NotTwin
962058,50263,80216,NotTwin
965367,52385,82248,NotTwin
965771,52535,82366,NotTwin
966975,56023,85844,NotMZ
969476,51838,81702,MZ
970764,54609,84431,NotTwin
971160,52796,82617,MZ
972566,56077,85897,NotTwin
973770,55910,85730,MZ
978578,51945,81809,NotTwin
979984,52164,99980,NotTwin
983773,52801,82622,NotTwin
984472,51455,81320,NotMZ
987074,52069,81933,NotTwin
987983,51493,81357,NotTwin
989987,52040,81904,NotTwin
990366,56064,85885,NotTwin
991267,51639,81503,NotTwin
992673,56143,85963,NotTwin
992774,51345,81210,NotTwin
993675,55800,85621,NotTwin
994273,52364,82227,NotTwin
995174,55923,85743,MZ
996782,51541,81405,NotMZ
